accession	taxon	species	completeness	n_SmLsm	n_Hfq
GCA_057295915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.75	0	0
GCA_057295935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.98	0	0
GCA_057295995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.01	0	0
GCA_057296015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057296055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057296075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.53	0	0
GCA_057296135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057296175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.01	0	0
GCA_057296215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296235.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	74.84	0	0
GCA_057296255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057296275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057296295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.45	0	0
GCA_057296315.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	76.18	0	0
GCA_057296335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.01	0	0
GCA_057296355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.29	0	0
GCA_057296375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057298775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057298855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057298895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.17	0	0
GCA_057298915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.5	0	0
GCA_057303955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.21	0	0
GCA_057304095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304105.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	70.69	0	0
GCA_057304135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.26	0	0
GCA_057304155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	76.72	0	0
GCA_057304195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057304235.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.26	0	0
GCA_057304255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304315.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057304355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057304375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304395.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304415.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.02	0	0
GCA_057304435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304455.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057304475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.32	0	0
GCA_057304575.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304595.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304635.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.7	0	0
GCA_057304655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057304675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304695.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.01	0	0
GCA_057304715.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057304735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.46	0	0
GCA_057304755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	73.12	0	0
GCA_057304815.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057304835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.62	0	0
GCA_057304855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057304915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.94	0	0
GCA_057304935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.01	0	0
GCA_057304955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057304975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	67.08	0	0
GCA_057305035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.97	0	0
GCA_057305075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.74	0	0
GCA_057305115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.46	0	0
GCA_057305135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	75.86	0	0
GCA_057305175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305225.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	71.11	0	0
GCA_057305295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305315.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057305375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305395.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305415.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057305495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.3	0	0
GCA_057305515.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.91	0	0
GCA_057305555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.01	0	0
GCA_057305575.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305595.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057305615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.98	0	0
GCA_057305635.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.66	0	0
GCA_057305655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.82	0	0
GCA_057305675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057305695.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305715.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057305735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057305755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057305775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.45	0	0
GCA_057305795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305815.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.54	0	0
GCA_057305875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.76	0	0
GCA_057305895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057305955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057305975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057305995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057306015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	74.84	0	0
GCA_057306155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306235.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.72	0	0
GCA_057306255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.46	0	0
GCA_057306295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306315.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306395.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306405.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057306435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306455.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057306495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	62.49	0	0
GCA_057306515.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306575.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306595.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306695.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	74.84	0	0
GCA_057306715.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057306735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.11	0	0
GCA_057306795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	72.26	0	0
GCA_057306815.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.74	0	0
GCA_057306915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.64	0	0
GCA_057306935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	74.84	0	0
GCA_057306975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057306995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.03	0	0
GCA_057307015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.43	0	0
GCA_057307055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057307115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057307125.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.46	0	0
GCA_057307155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	69.84	0	0
GCA_057307175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.7	0	0
GCA_057307235.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.4	0	0
GCA_057307295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057307315.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.23	0	0
GCA_057307335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.7	0	0
GCA_057307355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057307375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307395.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057307415.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307455.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.81	0	0
GCA_057307495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057307515.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	72.96	0	0
GCA_057307575.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057307595.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057307615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.46	0	0
GCA_057307695.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057307715.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057307735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307745.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057307795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057307815.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.56	0	0
GCA_057307835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.43	0	0
GCA_057307855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	68.81	0	0
GCA_057307915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	86.05	0	0
GCA_057307955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057307995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057308075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	73.98	0	0
GCA_057308135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.02	0	0
GCA_057308175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.82	0	0
GCA_057308215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	67.6	0	0
GCA_057308235.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057308255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.25	0	0
GCA_057308275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057308295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	74.84	0	0
GCA_057308315.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
